Starting sequence Thu Sep 28 14:38:56 2017
_seqline	_dataname$	_alsbottle	_alsbottle2	_methpath$	_methfile$	_datapath$	_datafile$	_runtype$	_levelid$	_multiplr	_miscinfo$	_sampamt	_injvol	_injvol2	_expbarcode$	_expbarcode2$	_pretreatpath$	_pretreatfile$	_traypicked	
1	EtAc-2	150	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	2.D	Blank		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
2	EtAc-3	150	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	3.D	Blank		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
3	EtAc-1	150	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	4.D	Blank		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
4	.001uM-1	1	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	5.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
5	.001uM-2	2	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	6.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
6	.01uM-1	3	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	7.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
7	.01uM-2	4	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	8.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
8	.1uM-1	5	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	9.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
9	.1uM-2	6	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	0.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
10	1uM-1	7	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	11.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
11	1uM-2	8	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	12.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
12	10uM-1	9	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	13.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
13	10uM-2	10	0	C:\MSDCHEM\1\METHODS\	320 ALKENE SPLITLESS EPC 3POINT2 5UL_SHORT.M	C:\MSDCHEM\1\DATA\SERINA\20170928 LACTONE_STD_CURVE\	14.D	Sample		1		0	0	0			C:\msdchem\1\PreTreat\	Default.pt		
